-30000	-716.43 Air2
-716.43	-699.44	Tissu0
-699.44	-689.18	Tissu1
-689.18	-677.66	Tissu2
-677.66	-664.9	Tissu3
-664.9	-650.94	Tissu4
-650.94	-635.77	Tissu5
-635.77	-619.42	Tissu6
-619.42	-601.92	Tissu7
-601.92	-583.31	Tissu8
-583.31	-563.57	Tissu9
-563.57	-542.81	Tissu10
-542.81	-521.02	Tissu11
-521.02	-498.25	Tissu12
-498.25	-474.55	Tissu13
-474.55	-449.12	Tissu14
-449.12	-422.81	Tissu15
-422.81	-396.43	Tissu16
-396.43	-369.34	Tissu17
-369.34	-341.56	Tissu18
-341.56	-313.22	Tissu19
-313.22	-284.37	Tissu20
-284.37	-253.64	Tissu21
-253.64	-219.9	Tissu22
-219.9	-184.94	Tissu23
-184.94	-150.45	Tissu24
-150.45	-116.38	Tissu25
-116.38	-82.72	Tissu26
-82.72	-47.97	Tissu27
-47.97	-10.47	Tissu28
-10.47	28.34	Tissu29
28.34	67.47	Tissu30
67.47	105.46	Tissu31
105.46	146.13	Tissu32
146.13	189.21	Tissu33
189.21	230.41	Tissu34
230.41	275.44	Tissu35
275.44	326.67	Tissu36
326.67	381.44	Tissu37
381.44	435.16	Tissu38
435.16	487.73	Tissu39
487.73	540.93	Tissu40
540.93	591.49	Tissu41
591.49	641.16	Tissu42
641.16	690.13	Tissu43
690.13	738.38	Tissu44
738.38	786.4	Tissu45
786.4	833.52	Tissu46
833.52	880.71	Tissu47
880.71	925.95	Tissu48
925.95	970.72	Tissu49
970.72	1014.86	Tissu50
1014.86	1058.23	Tissu51
1058.23	1100.94	Tissu52
1100.94	1149.81	Tissu53
1149.81	1205.83	Tissu54
1205.83	1260.75	Tissu55
1260.75	1315.84	Tissu56
1315.84	1371.33	Tissu57
1371.33	1426.78	Tissu58
1426.78	1481.9	Tissu59
1481.9	1536.93	Tissu60
1536.93	1592.41	Tissu61
1592.41	1647.77	Tissu62
1647.77	1703.39	Tissu63
1703.39	1760.39	Tissu64
1760.39	1818.14	Tissu65
1818.14	1875.9	Tissu66
1875.9	1933.51	Tissu67
1933.51	1990.23	Tissu68
1990.23	2047.6	Tissu69
2047.6	2106.81	Tissu70
2106.81	2166.08	Tissu71
2166.08	2224.45	Tissu72
2224.45	2283.49	Tissu73
2283.49	2343.13	Tissu74
2343.13	2402.53	Tissu75
2402.53	2461.29	Tissu76
2461.29	2520.63	Tissu77
2520.63	2580.88	Tissu78
2580.88	2640.51	Tissu79
2640.51	2699.94	Tissu80
2699.94	2759.47	Tissu81
2759.47	2819.05	Tissu82
2819.05	2878.63	Tissu83
2878.63	2938.17	Tissu84
2938.17	2998.17	Tissu85
2998.17	3058.1	Tissu86
3058.1	3118.02	Tissu87
3118.02	3178.29	Tissu88
3178.29	3238.03	Tissu89
3238.03	3297.34	Tissu90
3297.34	3355.97	Tissu91
3355.97	3414.44	Tissu92
3414.44	3473.28	Tissu93
3473.28	3531.87	Tissu94
3531.87	3590.45	Tissu95
3590.45	3649.37	Tissu96
3649.37	3707.81	Tissu97
3707.81	3765.95	Tissu98
3765.95	3823.78	Tissu99
3823.78	3880.91	Tissu100
3880.91	3937.95	Tissu101
3937.95	3994.8	Tissu102
3994.8	4051.45	Tissu103
4051.45	4108.09	Tissu104
4108.09	4164.14	Tissu105
4164.14	4219.74	Tissu106
4219.74	4274.85	Tissu107
4274.85	4329.77	Tissu108
4329.77	4384.88	Tissu109
4384.88	4439.45	Tissu110
4439.45	4493.33	Tissu111
4493.33	4547.22	Tissu112
4547.22	4600.57	Tissu113
4600.57	4652.83	Tissu114
4652.83	4704.95	Tissu115
4704.95	4756.62	Tissu116
4756.62	4807.32	Tissu117
4807.32	4857.96	Tissu118
4857.96	4907.83	Tissu119
4907.83	4956.71	Tissu120
4956.71	5005.46	Tissu121
5005.46	5053.44	Tissu122
5053.44	30000	Tissu123
